Albategnius,(131 km)
Aristarchus,(40 km)
Aristoteles,(88 km)
Bailly,(301 km)
Clavius,(231 km)
Copernicus,(96 km)
Fra Mauro,(97 km)
Humboldt,(199 km)
Janssen,(201 km)
Langrenus,(132 km)
Longomontanus,(146 km)
Maginus,(156 km)
Metius,(84 km)
Moretus,(114 km)
Petavius,(184 km)
Picard,(22 km)
Piccolomini,(88 km)
Pitatus,(101 km)
Plinius,(41 km)
Rheita,(71 km)
Russell,(103 km)
Schickard,(212 km)
Seleucus,(45 km)
Stadius,(68 km)
Stöfler,(130 km)
Thebit,(55 km)
Theophilus,(99 km)
Tycho,(85 km)
Vendelinus,(141 km)
Wargentin,(85 km)
